epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9158,3.86157,5.23063,2.64324,0,0,0,0,3.94724,4.35556,2.79967,7.145e-05,7.145e-05,7.145e-05
2,34.8871,3.26079,4.84712,2.36833,0.00093,0.1159,0.0018,0.00042,2.53182,4.1476,2.13532,0.000155634,0.000155634,0.000155634
3,37.6881,2.18347,4.17236,1.78608,0.00414,0.24513,0.01419,0.00385,2.27853,3.81776,1.8556,0.00023812,0.00023812,0.00023812
4,40.9945,1.92729,3.87069,1.60775,0.00564,0.35128,0.01576,0.00351,1.88654,3.76685,1.66085,0.000318909,0.000318909,0.000318909
5,44.1374,1.78021,3.55446,1.50976,0.00613,0.46872,0.01791,0.00406,1.78597,3.70356,1.46999,0.000397999,0.000397999,0.000397999
6,46.6766,1.65329,3.18939,1.38999,0.0072,0.57333,0.05685,0.01472,1.85105,3.67366,1.48152,0.000475393,0.000475393,0.000475393
7,49.2153,1.67206,2.79327,1.33953,0.0083,0.70308,0.15753,0.05026,1.66051,3.45332,1.27311,0.000551088,0.000551088,0.000551088
8,51.6913,1.60973,2.47815,1.30834,0.00684,0.6641,0.16415,0.05403,1.62845,3.46412,1.24481,0.000625086,0.000625086,0.000625086
9,55.1548,1.50768,2.26691,1.2849,0.00734,0.74051,0.25998,0.11515,1.51058,3.3621,1.21354,0.000697386,0.000697386,0.000697386
10,57.9514,1.4758,1.97725,1.2322,0.00569,0.57436,0.22049,0.09105,1.55055,3.43432,1.26683,0.000767989,0.000767989,0.000767989
11,60.472,1.42809,1.87127,1.24238,0.00617,0.62564,0.24853,0.12252,1.52984,3.44298,1.24756,0.000836894,0.000836894,0.000836894
12,62.9632,1.35895,1.71407,1.20561,0.00616,0.62615,0.29489,0.16093,1.41934,3.26764,1.18407,0.000904101,0.000904101,0.000904101
13,65.4422,1.39895,1.70778,1.18149,0.00693,0.70462,0.36845,0.16559,1.50118,3.28003,1.2415,0.000969611,0.000969611,0.000969611
14,69.2207,1.34131,1.54901,1.13918,0.86987,0.09922,0.42513,0.22497,1.36254,2.98624,1.1756,0.00103342,0.00103342,0.00103342
15,71.8038,1.31407,1.60348,1.17192,0.88281,0.34765,0.53182,0.30235,1.28667,2.72599,1.12682,0.00109554,0.00109554,0.00109554
16,74.6418,1.30679,1.48294,1.13547,0.8807,0.38084,0.53712,0.29005,1.38452,2.66129,1.15569,0.00115595,0.00115595,0.00115595
17,77.1665,1.29736,1.43233,1.14616,0.86683,0.24797,0.58063,0.31527,1.46764,2.77467,1.21759,0.00120265,0.00120265,0.00120265
18,79.9173,1.2998,1.39625,1.11003,0.9466,0.20174,0.61186,0.31819,1.54512,2.77615,1.24708,0.0011885,0.0011885,0.0011885
19,83.4089,1.3356,1.43048,1.11143,0.94013,0.19034,0.59386,0.3187,1.49349,2.79011,1.23932,0.00117435,0.00117435,0.00117435
20,85.8487,1.30077,1.38871,1.12813,0.88302,0.25241,0.69205,0.37742,1.4266,2.63613,1.23056,0.00116021,0.00116021,0.00116021
21,88.3096,1.31009,1.29386,1.10367,0.87567,0.4334,0.75335,0.43125,1.40301,2.30418,1.20089,0.00114606,0.00114606,0.00114606
22,91.1629,1.26234,1.24903,1.09631,0.91102,0.72811,0.89583,0.50525,1.36195,1.78179,1.14134,0.00113191,0.00113191,0.00113191
23,94.6658,1.30817,1.27707,1.13053,0.91242,0.78589,0.90616,0.56606,1.28053,1.7323,1.10189,0.00111776,0.00111776,0.00111776
24,97.6274,1.26529,1.23823,1.11073,0.9148,0.79042,0.93405,0.55355,1.32744,1.35401,1.12704,0.00110362,0.00110362,0.00110362
25,100.104,1.22462,1.19585,1.09191,0.88422,0.83758,0.93646,0.55416,1.34782,1.33392,1.14868,0.00108947,0.00108947,0.00108947
26,102.689,1.17334,1.15102,1.0335,0.92991,0.85448,0.93727,0.59302,1.27525,1.20236,1.12412,0.00107532,0.00107532,0.00107532
27,105.252,1.16954,1.12756,1.05143,0.94577,0.89569,0.94167,0.60385,1.23474,1.12442,1.10093,0.00106118,0.00106118,0.00106118
28,108.935,1.17132,1.11737,1.05212,0.91445,0.88966,0.93601,0.5998,1.25989,1.08335,1.09655,0.00104703,0.00104703,0.00104703
29,111.572,1.14927,1.06856,1.03412,0.92035,0.86535,0.93489,0.61177,1.24909,1.11163,1.08762,0.00103288,0.00103288,0.00103288
30,114.072,1.19293,1.14359,1.04583,0.92894,0.87077,0.92586,0.53806,1.36713,1.12888,1.14304,0.00101873,0.00101873,0.00101873
31,116.92,1.15611,1.07984,1.05104,0.92452,0.88207,0.92958,0.56031,1.35671,1.12093,1.14734,0.00100459,0.00100459,0.00100459
32,119.689,1.17699,1.10341,1.06758,0.89794,0.92023,0.94433,0.60151,1.23376,1.0025,1.11661,0.00099044,0.00099044,0.00099044
33,123.142,1.15669,1.03096,1.03027,0.96767,0.89454,0.93964,0.60104,1.2352,0.97547,1.13369,0.000976293,0.000976293,0.000976293
